User_ID,Created,Paying,Tester,Level,Country,Channel
1053809,2018-08-06 19:50:54,False,False,11,US,Organic
1238127,2018-10-27 15:13:14,True,False,17,RU,Organic
1298955,2018-11-18 04:22:40,False,False,1,CN,Organic
1288864,2018-11-16 00:54:20,False,False,9,US,Facebook Ads
1198466,2018-10-03 06:29:24,False,False,7,US,unityads_int
1323153,2018-11-19 20:57:18,False,False,7,US,Facebook Ads
1174530,2018-09-28 08:09:46,False,False,17,US,Organic
568340,2018-01-14 20:19:43,False,False,8,US,Organic
1269851,2018-11-08 05:32:43,True,False,5,US,Facebook Ads
1334714,2018-11-23 02:45:53,False,False,8,BR,Organic
197377,2017-10-18 12:38:34,False,False,5,US,unityads_int
929761,2018-05-31 22:54:38,True,False,13,US,Facebook Ads
1369488,2018-12-04 13:36:26,False,False,1,UA,Organic
1334791,2018-11-23 07:02:14,False,False,1,CN,Organic
1298108,2018-11-16 08:36:08,False,False,1,SE,Organic
1358795,2018-11-25 04:53:39,False,False,1,JP,Facebook Ads
1334497,2018-11-22 17:03:48,False,False,9,CA,Organic
1228532,2018-10-24 14:23:39,False,False,9,TW,Organic
1359010,2018-11-25 15:05:24,False,False,1,TW,Facebook Ads
1249168,2018-10-31 21:41:13,False,False,8,DE,Facebook Ads
1064178,2018-08-12 13:24:08,True,False,9,US,Facebook Ads
1249353,2018-11-01 07:54:00,False,False,4,ID,Organic
1228842,2018-10-25 10:09:07,False,False,10,DE,Organic
1219120,2018-10-22 03:52:25,True,False,19,US,Organic
818125,2018-03-27 12:23:21,True,False,33,VN,unityads_int
607249,2018-02-04 04:12:26,True,False,55,US,Organic
1370336,2018-12-05 17:59:57,False,False,3,US,Facebook Ads
1359268,2018-11-26 05:19:56,False,False,1,JP,Organic
1298851,2018-11-17 22:57:14,False,False,11,US,Facebook Ads
10097,2017-05-18 12:00:00,False,False,10,FR,Organic
1358512,2018-11-24 12:53:24,False,False,4,AT,Facebook Ads
1359542,2018-11-26 19:23:24,False,False,1,US,unityads_int
1359710,2018-11-27 02:45:01,False,False,4,US,Organic
1273208,2018-11-09 15:17:58,False,False,3,US,Facebook Ads
344175,2017-11-29 04:24:52,False,False,11,US,Organic
1368758,2018-12-02 21:19:08,False,False,1,US,Organic
1269619,2018-11-07 16:39:54,True,False,11,TR,Facebook Ads
80802,2017-08-11 14:00:00,True,False,8,US,Organic
250415,2017-11-05 17:29:12,False,False,26,AU,Organic
938331,2018-06-02 23:50:13,False,False,6,US,Organic
335434,2017-11-23 14:23:01,False,False,12,DE,Facebook Ads
1228350,2018-10-24 01:23:04,False,False,9,SG,Organic
1363396,2018-11-29 15:24:52,False,False,1,TW,Organic
1359879,2018-11-27 11:29:44,False,False,10,PH,Facebook Ads
1288817,2018-11-15 23:02:28,False,False,7,FR,Organic
1095048,2018-08-29 21:18:17,False,False,10,CA,Organic
563639,2018-01-10 22:32:07,False,False,50,ES,Organic
1368904,2018-12-03 06:28:38,False,False,1,GB,Organic
1096628,2018-08-30 21:51:30,True,False,18,US,Organic
648935,2018-02-12 13:52:50,False,False,11,US,Organic
1288603,2018-11-14 15:10:53,False,False,1,GB,Organic
1288448,2018-11-15 04:07:40,False,False,1,CN,Organic
1273463,2018-11-10 01:47:23,True,False,11,,Organic
1298697,2018-11-17 17:46:45,False,False,20,US,Facebook Ads
1109474,2018-09-06 15:42:35,False,False,7,US,unityads_int
45338,2017-06-14 14:50:00,False,False,24,CA,Organic
1368490,2018-12-02 08:13:42,True,False,7,BR,Facebook Ads
1283849,2018-11-11 18:16:57,True,False,10,US,Facebook Ads
838516,2018-04-08 01:45:52,False,False,8,US,Organic
